handle,title,Body (HTML),vendor,Type,Tags,Published,sku,Variant Barcode,Image Src,Author,YearLevel
Macmillan History Year 4 Level Pack,Macmillan History Year 4 Level Pack,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR>This Pack consists of the Anthology Pack, 12 Individual Non-fiction Packs, Individual Narrative/Biography Packs, Teacher Resource Book, eBooks<BR><BR><BR>Macmillan History includes an impressive range of resources that present information in a variety of ways, including timelines, fact boxes, maps, graphs, diagrams, and illustrative and photographic artwork. <BR>The Teacher Resource Book provides teachers with ideas and resources for each stage of the Guided Inquiry.<BR><BR><B>Anthology features</B><BR>The Anthology s short texts provide introductory overviews and snapshots of information that encourage students to explore the central ideas behind the curriculum s key inquiry questions. The short texts are ideal for working through the early stages of the guided inquiry.<BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR><BR><B>Teacher Resource Book features</B><BR>The Teacher Resource Book is organised by key inquiry topic. Each unit provides curriculum links and an overview of the key inquiry and resources required. Detailed lesson plans for each guided inquiry stage include notes for using the Anthology and Topic Books, as well as accessible resources, such as videos and websites, to assist in the teaching and learning of historical knowledge and skills.<BR><BR><B>Disc features</B><BR>The Teacher Resource Book includes a disc containing eBook editions (PDF format) of the Anthology and Topic Books, and Teacher Resource Book. Offering flexibility in the classroom, these eBooks can be loaded onto tablets or computers and are IWB compatible. <BR>",MEA,Mixtures Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9993401506282,9993401506282,,Various,"4"
Macmillan History Years 3 and 4 Value Pack,Macmillan History Years 3 and 4 Value Pack,"<BR><B>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.</B><BR><BR><B>This Pack consists of the Year 3 and Year 4 Pack. Each of the two packs consists of the Anthology Pack, 12 Individual Non-fiction Packs, Individual Narrative/Biography Packs, Teacher Resource Book, eBooks.</B><BR><BR><BR>Macmillan History includes an impressive range of resources that present information in a variety of ways, including timelines, fact boxes, maps, graphs, diagrams, and illustrative and photographic artwork. <BR>The Teacher Resource Book provides teachers with ideas and resources for each stage of the Guided Inquiry.<BR><BR><B>Anthology features</B><BR>The Anthology s short texts provide introductory overviews and snapshots of information that encourage students to explore the central ideas behind the curriculum s key inquiry questions. The short texts are ideal for working through the early stages of the guided inquiry.<BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR><BR><B>Teacher Resource Book features</B><BR>The Teacher Resource Book is organised by key inquiry topic. Each unit provides curriculum links and an overview of the key inquiry and resources required. Detailed lesson plans for each guided inquiry stage include notes for using the Anthology and Topic Books, as well as accessible resources, such as videos and websites, to assist in the teaching and learning of historical knowledge and skills.<BR><BR><B>Disc features</B><BR>The Teacher Resource Book includes a disc containing eBook editions (PDF format) of the Anthology and Topic Books, and Teacher Resource Book. Offering flexibility in the classroom, these eBooks can be loaded onto tablets or computers and are IWB compatible. <BR><BR>",MEA,Mixtures Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9993401507067,9993401507067,,Various,""3, 4""
Macmillan History Year 5 Level Pack,Macmillan History Year 5 Level Pack,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR>This Pack consists of the Anthology Pack, 12 Individual Non-fiction Packs, Individual Narrative/Biography Packs, Teacher Resource Book, eBooks<BR><BR><BR>Macmillan History includes an impressive range of resources that present information in a variety of ways, including timelines, fact boxes, maps, graphs, diagrams, and illustrative and photographic artwork. <BR>The Teacher Resource Book provides teachers with ideas and resources for each stage of the Guided Inquiry.<BR><BR><B>Anthology features</B><BR>The Anthology s short texts provide introductory overviews and snapshots of information that encourage students to explore the central ideas behind the curriculum s key inquiry questions. The short texts are ideal for working through the early stages of the guided inquiry.<BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR><BR><B>Teacher Resource Book features</B><BR>The Teacher Resource Book is organised by key inquiry topic. Each unit provides curriculum links and an overview of the key inquiry and resources required. Detailed lesson plans for each guided inquiry stage include notes for using the Anthology and Topic Books, as well as accessible resources, such as videos and websites, to assist in the teaching and learning of historical knowledge and skills.<BR><BR><B>Disc features</B><BR>The Teacher Resource Book includes a disc containing eBook editions (PDF format) of the Anthology and Topic Books, and Teacher Resource Book. Offering flexibility in the classroom, these eBooks can be loaded onto tablets or computers and are IWB compatible. <BR>",MEA,Mixtures Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9993401411869,9993401411869,,Various,"5"
Macmillan History Year 6 Level Pack,Macmillan History Year 6 Level Pack,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR>This Pack consists of the Anthology Pack, 12 Individual Non-fiction Packs, Individual Narrative/Biography Packs, Teacher Resource Book, eBooks<BR><BR><BR>Macmillan History includes an impressive range of resources that present information in a variety of ways, including timelines, fact boxes, maps, graphs, diagrams, and illustrative and photographic artwork. <BR>The Teacher Resource Book provides teachers with ideas and resources for each stage of the Guided Inquiry.<BR><BR><B>Anthology features</B><BR>The Anthology s short texts provide introductory overviews and snapshots of information that encourage students to explore the central ideas behind the curriculum s key inquiry questions. The short texts are ideal for working through the early stages of the guided inquiry.<BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR><BR><B>Teacher Resource Book features</B><BR>The Teacher Resource Book is organised by key inquiry topic. Each unit provides curriculum links and an overview of the key inquiry and resources required. Detailed lesson plans for each guided inquiry stage include notes for using the Anthology and Topic Books, as well as accessible resources, such as videos and websites, to assist in the teaching and learning of historical knowledge and skills.<BR><BR><B>Disc features</B><BR>The Teacher Resource Book includes a disc containing eBook editions (PDF format) of the Anthology and Topic Books, and Teacher Resource Book. Offering flexibility in the classroom, these eBooks can be loaded onto tablets or computers and are IWB compatible. <BR>",MEA,Mixtures Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9993401411876,9993401411876,,Various,"6"
Macmillan History Years 5 and 6 Value Pack,Macmillan History Years 5 and 6 Value Pack,"<BR><B>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.</B><BR><BR><B>This Pack consists of the Year 5 and Year 6 Level Packs. Each of the two packs consists of the Anthology Pack, 12 Individual Non-fiction Packs, Individual Narrative/Biography Packs, Teacher Resource Book, eBooks.</B><BR><BR><BR>Macmillan History includes an impressive range of resources that present information in a variety of ways, including timelines, fact boxes, maps, graphs, diagrams, and illustrative and photographic artwork. <BR>The Teacher Resource Book provides teachers with ideas and resources for each stage of the Guided Inquiry.<BR><BR><B>Anthology features</B><BR>The Anthology s short texts provide introductory overviews and snapshots of information that encourage students to explore the central ideas behind the curriculum s key inquiry questions. The short texts are ideal for working through the early stages of the guided inquiry.<BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR><BR><B>Teacher Resource Book features</B><BR>The Teacher Resource Book is organised by key inquiry topic. Each unit provides curriculum links and an overview of the key inquiry and resources required. Detailed lesson plans for each guided inquiry stage include notes for using the Anthology and Topic Books, as well as accessible resources, such as videos and websites, to assist in the teaching and learning of historical knowledge and skills.<BR><BR><B>Disc features</B><BR>The Teacher Resource Book includes a disc containing eBook editions (PDF format) of the Anthology and Topic Books, and Teacher Resource Book. Offering flexibility in the classroom, these eBooks can be loaded onto tablets or computers and are IWB compatible. <BR><BR>",MEA,Mixtures Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9993401411883,9993401411883,,Various,""5, 6""
Macmillan History Years 3 to 6 Value Pack,Macmillan History Years 3 to 6 Value Pack,"<BR><B>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.</B><BR><BR><B>This Pack consists of the Year 3 to 6 Level Packs. Each of the four packs consists of the Anthology Pack, 12 Individual Non-fiction Packs, Individual Narrative/Biography Packs, Teacher Resource Book, eBooks.</B><BR><BR><BR>Macmillan History includes an impressive range of resources that present information in a variety of ways, including timelines, fact boxes, maps, graphs, diagrams, and illustrative and photographic artwork. <BR>The Teacher Resource Book provides teachers with ideas and resources for each stage of the Guided Inquiry.<BR><BR><B>Anthology features</B><BR>The Anthology s short texts provide introductory overviews and snapshots of information that encourage students to explore the central ideas behind the curriculum s key inquiry questions. The short texts are ideal for working through the early stages of the guided inquiry.<BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR><BR><B>Teacher Resource Book features</B><BR>The Teacher Resource Book is organised by key inquiry topic. Each unit provides curriculum links and an overview of the key inquiry and resources required. Detailed lesson plans for each guided inquiry stage include notes for using the Anthology and Topic Books, as well as accessible resources, such as videos and websites, to assist in the teaching and learning of historical knowledge and skills.<BR><BR><B>Disc features</B><BR>The Teacher Resource Book includes a disc containing eBook editions (PDF format) of the Anthology and Topic Books, and Teacher Resource Book. Offering flexibility in the classroom, these eBooks can be loaded onto tablets or computers and are IWB compatible. <BR><BR>",MEA,Mixtures Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9993401411913,9993401411913,,Various,""3, 4, 5, 6""
Macmillan History Year 3 Teacher Resource Book,Macmillan History Year 3 Teacher Resource Book,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Teacher Resource Book features</B><BR>The Teacher Resource Book is organised by key inquiry topic. Each unit provides curriculum links and an overview of the key inquiry and resources required. <BR>Detailed lesson plans for each guided inquiry stage include notes for using the Anthology and Topic Books, as well as accessible resources, such as videos and websites, to assist in the teaching and learning of historical knowledge and skills.<BR><BR>Reproducible activity sheets linking to the Anthology texts and Topic Books assist in further developing historical knowledge, understanding and skills. Assessment rubrics are provided for students to evaluate their own learning, and for teachers to record students  progress. <BR>",MEA,Paperback,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458659934,9781458659934,,Charlotte Forwood,"3"
Macmillan History Year 3 Anthology Pack ,Macmillan History Year 3 Anthology Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Anthology features</B><BR>The Anthology s short texts provide introductory overviews and snapshots of information that encourage students to explore the central ideas behind the curriculum s key inquiry questions. The short texts are ideal for working through the early stages of the guided inquiry.<BR><BR>A range of reading experiences is offered across the wide range of types of texts, including narrative, informative and persuasive texts. The Anthology also includes a focus on teaching historical terms in context. <BR>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458659972,9781458659972,,Various,"3"
"Language, Life, Country Non-fiction Topic Book Pack ","Language, Life, Country Non-fiction Topic Book Pack ","<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661166,9781458661166,,Christine Nicholls,"3"
Symbols and Emblems Non-fiction Topic Book Pack ,Symbols and Emblems Non-fiction Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661173,9781458661173,,Samone Bos,"3"
Commemorative Days in Australia Non-fiction Topic Book Pack ,Commemorative Days in Australia Non-fiction Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661180,9781458661180,,Samone Bos,"3"
Special Days in Australia Non-fiction Topic Book Pack ,Special Days in Australia Non-fiction Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661197,9781458661197,,Robert Gott,"3"
Special Days Around the World Non-fiction Topic Book Pack ,Special Days Around the World Non-fiction Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661203,9781458661203,,Robert Gott,"3"
"Cities of Australia: Hobart, Perth... Non-fiction Topic Book Pack ","Cities of Australia: Hobart, Perth... Non-fiction Topic Book Pack ","<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661210,9781458661210,,Janine Scott,"3"
"Cities of Australia: Sydney, Brisbane... Non-fiction Topic Book Pack","Cities of Australia: Sydney, Brisbane... Non-fiction Topic Book Pack","<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661227,9781458661227,,Janine Scott,"3"
Australia's Built Environments Non-fiction Topic Book Pack ,Australia's Built Environments Non-fiction Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661234,9781458661234,,Debbie Gallagher ,"3"
Australia's Rural Environments Non-fiction Topic Book Pack ,Australia's Rural Environments Non-fiction Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661241,9781458661241,,Debbie Gallagher ,"3"
Forming Modern Australia Non-fiction Topic Book Pack ,Forming Modern Australia Non-fiction Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661258,9781458661258,,Carmel Reilly,"3"
People Who Shaped Australia Non-fiction Topic Book Pack ,People Who Shaped Australia Non-fiction Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661265,9781458661265,,Katy Gerner,"3"
Land of Many Cultures Non-fiction Topic Book Pack ,Land of Many Cultures Non-fiction Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661272,9781458661272,,Melanie Guile,"3"
The Brothers Barmbarmbult and Mopoke Narrative Topic Book Pack,The Brothers Barmbarmbult and Mopoke Narrative Topic Book Pack,"<BR>This Pack contains 6 copies of one title<BR><BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661289,9781458661289,,Alex Barlow ,"3"
The Gold Adventure Narrative Topic Book Pack ,The Gold Adventure Narrative Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661296,9781458661296,,Carmel Reilly,"3"
Dr Karl: The People's Scientist Biography Topic Book Pack ,Dr Karl: The People's Scientist Biography Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661302,9781458661302,,Melanie Guile,"3"
Vincent Lingiari: Land Rights Hero Biography Topic Book Pack ,Vincent Lingiari: Land Rights Hero Biography Topic Book Pack ,"<BR>Based on Key Inquiry questions from the History curriculum, Macmillan History has been developed to assist teachers in planning and implementing units of work covering the content and skills of the Australian Curriculum: History.<BR><BR><BR><B>Topic books features</B><BR>Topic books feature longer texts and include non-fiction text types, biographies and narratives, which give greater detail so that students can explore key ideas, build their knowledge base and gain a deeper understanding of the key concept.<BR>In the Macmillan History topic books, key inquiry questions are further explored, to complete the later stages of the guided inquiry. <BR><BR>Each book focuses on one aspect or sub-topic, and explores it in greater detail, allowing students the opportunity to explore key ideas, build their knowledge base and gain a deeper understanding.<BR><BR>The topic books include <UL type=disc><LI>vocabulary support <LI>special features including quotes <LI>timelines <LI>fact boxes <LI>maps <LI>graphs and diagrams <LI>a range of illustrative and photographic artwork.</LI></UL>",MEA,Shrinkwrapped Pack,"Primary,Humanities and Social Sciences,Macmillan History",TRUE,9781458661319,9781458661319,,Melanie Guile,"3"
